bairro,iptu_lancado_rs,tcl_rs,total_rs,registros
PETROPOLIS,94330117.47,17209279.15,111539396.62,49891
CENTRO HISTORIC,67028907.74,28109757.73,95138665.47,51780
MOINHOS VENTO,54559119.71,9301669.07,63860788.78,19945
BELA VISTA,57172384.04,5543470.85,62715854.89,18899
RIO BRANCO,49564784.39,9149964.08,58714748.47,23681
MENINO DEUS,43038615.40,12010540.84,55049156.24,32578
SARANDI,38607915.12,11516509.59,50124424.71,25309
BOA VISTA,36752174.09,5205772.69,41957946.78,14778
MONT SERRAT,35569390.29,5250878.79,40820269.08,15830
TRES FIGUEIRAS,34886352.65,3793437.60,38679790.25,8226
JARDIM EUROPA,36272724.32,1743833.47,38016557.79,5529
CRISTAL,29722918.14,5808339.36,35531257.50,13669
AUXILIADORA,27695777.00,6237540.14,33933317.14,14792
FLORESTA,23512247.69,7577365.35,31089613.04,11452
ANCHIETA,26752628.91,2652832.78,29405461.69,1323
SANTANA,20883568.38,7958451.46,28842019.84,18817
SAO JOAO,22472020.05,5705373.90,28177393.95,12268
PASSO DA AREIA,19933657.77,7469640.07,27403297.84,23294
PARTENON,17736962.42,8685926.72,26422889.14,24964
SAO GERALDO,19036130.63,6824844.08,25860974.71,8877
HIGIENOPOLIS,20900725.91,4413451.77,25314177.68,13158
TRISTEZA,17884134.65,5631972.44,23516107.09,17271
NAVEGANTES,18506469.32,4986647.36,23493116.68,4165
CRISTO REDENTOR,17635245.52,5375482.86,23010728.38,16408
CHACARA PEDRAS,18169839.77,2817483.11,20987322.88,5565
INDEPENDENCIA,16553141.00,3860401.65,20413542.65,8558
AZENHA,14030417.72,5453451.04,19483868.76,12916
BOM FIM,14076898.37,5083605.47,19160503.84,13079
IPANEMA,14286484.59,4321125.89,18607610.48,8211
CIDADE BAIXA,12602390.19,5770952.39,18373342.58,15388
HUMAITA,14058216.44,3490296.16,17548512.60,9325
CAVALHADA,13144835.86,4246733.89,17391569.75,14780
VILA NOVA,12257810.01,4751913.36,17009723.37,14562
PRAIA DE BELAS,14141691.13,2451832.39,16593523.52,3770
JARDIM ITU,12251347.30,4133633.84,16384981.14,12237
JARDIM BOTANICO,12228606.12,3571209.88,15799816.00,11075
SANTA TEREZA,12010793.97,3215840.43,15226634.40,8026
JARDIM LINDOIA,12227262.47,2791680.58,15018943.05,8698
TERESOPOLIS,10866390.63,3170069.48,14036460.11,8748
HIPICA,7834076.72,5020415.24,12854491.96,13197
VILA IPIRANGA,8236730.78,4557165.09,12793895.87,15977
LOMBA PINHEIRO,8081600.23,4035298.75,12116898.98,12440
SAO SEBASTIAO,9079880.21,2544562.77,11624442.98,8363
NONOAI,8110834.98,3496040.69,11606875.67,10319
JARDIM CARVALHO,8058289.26,3137177.79,11195467.05,11817
VILA JARDIM,8245518.85,2687489.11,10933007.96,6967
JARDIM DO SALSO,8208158.18,2434831.73,10642989.91,7952
VILA ASSUNCAO,9291134.31,1279233.57,10570367.88,1813
JAR SAO PEDRO,8924915.17,1372584.12,10297499.29,2800
SANTO ANTONIO,6613419.17,3088524.45,9701943.62,10337
SANTA CECILIA,7153922.51,2185684.14,9339606.65,4676
MEDIANEIRA,6523711.00,2527287.35,9050998.35,5618
SANTA M GORETTI,6462502.32,2067141.60,8529643.92,3265
CAMAQUA,5143406.02,2996105.78,8139511.80,9537
MORRO SANTANA,5067959.03,2952068.55,8020027.58,11185
GLORIA,5224653.61,2614692.07,7839345.68,6253
MARIO QUINTANA,4624378.62,2834912.24,7459290.86,10288
STA ROSA LIMA,4614152.50,2547544.91,7161697.41,8284
JARDIM SABARA,4975438.05,2142109.51,7117547.56,6466
BELEM NOVO,4992509.78,1879270.60,6871780.38,3190
RESTINGA,3223411.30,3468496.98,6691908.28,15379
BOM JESUS,4093625.12,2030197.16,6123822.28,5794
JARDIM ISABEL,4908046.01,839257.79,5747303.80,1406
PEDRA REDONDA,5307118.34,357258.23,5664376.57,324
FARRAPOS,4104959.47,1471988.21,5576947.68,3573
PARQUE STA FE,3713184.46,1850465.21,5563649.67,5108
ESPIRITO SANTO,3660773.45,1338425.21,4999198.66,2632
PASSO PEDRAS,3198383.16,1622555.43,4820938.59,4549
JAR LEOPOLDINA,1869837.70,2760600.45,4630438.15,11441
RUBEM BERTA,1964807.91,2586216.64,4551024.55,12227
BELEM VELHO,3321125.47,1132152.86,4453278.33,3145
ABERTA DOS MORR,2860947.55,1521479.59,4382427.14,3705
VILA SAO JOSE,2189886.94,1861331.70,4051218.64,5351
COSTA E SILVA,2811147.46,1002050.63,3813198.09,3821
JARDIM FLORESTA,2751749.21,910990.53,3662739.74,1557
GUARUJA,2379634.49,1203911.21,3583545.70,2588
PONTA GROSSA,2152382.67,1247066.17,3399448.84,2513
VILA CONCEICAO,2777931.36,301643.89,3079575.25,451
VL JOAO PESSOA,1737641.99,1174471.22,2912113.21,2730
SETIMO CEU,2299442.26,338264.76,2637707.02,535
CAMPO NOVO,1327512.57,1171337.76,2498850.33,3589
FARROUPILHA,1568972.54,543363.04,2112335.58,877
LAGEADO,1347603.81,652007.70,1999611.51,1148
ARQUIPELAGO,1465343.07,493688.60,1959031.67,684
AGRONOMIA,1066540.91,390369.85,1456910.76,618
CASCATA,904183.60,437342.19,1341525.79,1137
CEL AP BORGES,628470.59,518713.03,1147183.62,1235
LAMI,546516.03,521636.41,1068152.44,987
SERRARIA,726993.48,282382.20,1009375.68,485
CHAPEU DO SOL,691111.01,279557.72,970668.73,1486
BOA VISTA DO SU,480824.87,399646.18,880471.05,682
,365511.54,196667.97,562179.51,507
EXTREMA,361030.25,157869.37,518899.62,205
SAO CAETANO,346354.85,147825.60,494180.45,180
PITINGA,370243.57,84695.12,454938.69,1059
VIAMAO,2794.81,2247.29,5042.10,4
